ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,round
1261,65.417,200620_062229_0000000143_CAM2_OK.bmp,47.808,200620_062234_0000000144_CAM2_OK.bmp,M,1.091722139,0.721052886,0.091722139,0.386860824,1.089965233,0.725692054,0.089965233,0.37799497,3
1262,63.742,200620_062245_0000000145_CAM2_OK.bmp,45.985,200620_062252_0000000146_CAM2_OK.bmp,F,1.056984158,0.715955222,0.056984158,0.396735396,1.069402331,0.720616107,0.069402331,0.387701428,3
1263,64.213,200620_062304_0000000147_CAM2_OK.bmp,49.277,200620_062313_0000000148_CAM2_OK.bmp,M,1.146599561,0.732168726,0.146599561,0.365805401,1.134254126,0.737308874,0.134254126,0.35628369,3
1264,63.446,200620_062343_0000000149_CAM2_OK.bmp,48.155,200620_062358_0000000150_CAM2_OK.bmp,M,1.055787959,0.749207022,0.055787959,0.334744565,1.064279468,0.756076217,0.064279468,0.322617981,3
1265,64.769,200620_062419_0000000151_CAM2_OK.bmp,45.214,200620_062425_0000000152_CAM2_OK.bmp,F,1.082444733,0.733684549,0.082444733,0.36298359,1.099419406,0.738793573,0.099419406,0.353558066,3
1266,64.577,200620_062510_0000000153_CAM2_OK.bmp,48.44,200620_062516_0000000154_CAM2_OK.bmp,F,1.114573641,0.727902579,0.114573641,0.373810216,1.094299229,0.734904123,0.094299229,0.360721717,3
1311,61.52,200620_062556_0000000155_CAM2_OK.bmp,47.169,200620_062603_0000000156_CAM2_OK.bmp,M,1.06281155,0.742784646,0.06281155,0.346285233,1.063365679,0.74541262,0.063365679,0.341538864,3
1312,63.242,200620_062616_0000000157_CAM2_OK.bmp,47.818,200620_062620_0000000158_CAM2_OK.bmp,M,1.143361873,0.744265159,0.143361873,0.343607164,1.120211504,0.750850993,0.120211504,0.331822172,3
1313,61.374,200620_062628_0000000159_CAM2_OK.bmp,48.738,200620_062632_0000000160_CAM2_OK.bmp,M,1.129425285,0.758650994,0.129425285,0.318129163,1.132867245,0.767652793,0.132867245,0.302672261,3
1314,61.11,200620_062722_0000000161_CAM2_OK.bmp,46.747,200620_062729_0000000162_CAM2_OK.bmp,F,1.06937187,0.756758941,0.06937187,0.321424758,1.064298162,0.764172231,0.064298162,0.308605521,3
1315,61.803,200620_063014_0000000163_CAM2_OK.bmp,49.063,200620_063022_0000000164_CAM2_OK.bmp,F,1.096615386,0.748563906,0.096615386,0.335891288,1.108842804,0.761546577,0.108842804,0.313117319,3
1316,65.628,200620_063058_0000000165_CAM2_OK.bmp,49.238,200620_063106_0000000166_CAM2_OK.bmp,M,1.125789033,0.733423614,0.125789033,0.363468507,1.108969529,0.742121872,0.108969529,0.347487573,3
1321,61.755,200620_063137_0000000167_CAM2_OK.bmp,47.905,200620_063156_0000000168_CAM2_OK.bmp,F,1.045339573,0.763466175,0.045339573,0.309815722,1.043542383,0.769596233,0.043542383,0.29938266,3
1322,62.259,200620_063315_0000000169_CAM2_OK.bmp,49.319,200620_063534_0000000170_CAM2_OK.bmp,M,1.082334224,0.761956532,0.082334224,0.312410824,1.073690101,0.769649482,0.073690101,0.29929276,3
1323,62.365,200620_063629_0000000171_CAM2_OK.bmp,43.209,200620_063644_0000000172_CAM2_OK.bmp,M,1.089809108,0.737164215,0.089809108,0.356549842,1.074701665,0.741156467,0.074701665,0.349242764,3
1324,65.897,200620_063739_0000000173_CAM2_OK.bmp,48.608,200620_063749_0000000174_CAM2_OK.bmp,F,1.112050859,0.722426288,0.112050859,0.384224269,1.110116331,0.729081005,0.110116331,0.371589703,3
1325,61.604,200620_063834_0000000175_CAM2_OK.bmp,47.604,200620_063847_0000000176_CAM2_OK.bmp,F,1.075363142,0.745303842,0.075363142,0.341734664,1.080011856,0.749641992,0.080011856,0.333970097,3
1326,65.14,200620_063928_0000000177_CAM2_OK.bmp,48.654,200620_063937_0000000178_CAM2_OK.bmp,M,1.105661294,0.738968962,0.105661294,0.35323681,1.094111566,0.743627943,0.094111566,0.344758504,3
1331,63.891,200620_064027_0000000179_CAM2_OK.bmp,47.64,200620_064035_0000000180_CAM2_OK.bmp,M,1.079743123,0.736190389,0.079743123,0.358344275,1.062894318,0.741168587,0.062894318,0.349220699,3
1332,63.978,200620_064131_0000000181_CAM2_OK.bmp,46.253,200620_064138_0000000182_CAM2_OK.bmp,M,1.086352298,0.737950321,0.086352298,0.35510477,1.09588588,0.747610865,0.09588588,0.337594258,3
1333,63.324,200620_064223_0000000183_CAM2_OK.bmp,43.346,200620_064232_0000000184_CAM2_OK.bmp,F,1.114458276,0.726649689,0.114458276,0.376178941,1.107447935,0.729917419,0.107447935,0.370017996,3
1334,63.619,200620_064314_0000000185_CAM2_OK.bmp,48.652,200620_064320_0000000186_CAM2_OK.bmp,Not fertile,1.108890804,0.745492153,0.108890804,0.341395743,1.105206333,0.748712009,0.105206333,0.335627035,3
1335,64.615,200620_064358_0000000187_CAM2_OK.bmp,49.711,200620_064402_0000000188_CAM2_OK.bmp,M,1.091838575,0.758535718,0.091838575,0.318329482,1.094825044,0.763119926,0.094825044,0.310410023,3
1336,61.062,200624_052056_0000000007_CAM2_OK.bmp,46.225,200624_052100_0000000008_CAM2_OK.bmp,F,1.111496374,0.747496949,0.111496374,0.337798102,1.090146445,0.751175657,0.090146445,0.331246547,3
1341,62.179,200624_052133_0000000009_CAM2_OK.bmp,49.157,200624_052139_0000000010_CAM2_OK.bmp,Not fertile,1.084936888,0.784667602,0.084936888,0.274424988,1.071015158,0.788110728,0.071015158,0.268857235,3
1342,60.913,200624_052226_0000000011_CAM2_OK.bmp,48.137,200624_052241_0000000012_CAM2_OK.bmp,M,1.089183212,0.780147219,0.089183212,0.28180935,1.083475205,0.784093282,0.083475205,0.275358459,3
1343,65.672,200624_052321_0000000013_CAM2_OK.bmp,48.648,200624_052330_0000000014_CAM2_OK.bmp,M,1.088671855,0.733387169,0.088671855,0.363536264,1.098157341,0.735341282,0.098157341,0.35991277,3
1344,61.867,200624_052406_0000000015_CAM2_OK.bmp,47.397,200624_052413_0000000016_CAM2_OK.bmp,M,1.13879857,0.758061566,0.13879857,0.31915407,1.123445072,0.761812833,0.123445072,0.312658381,3
