ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1364,63.921,200624_053121_0000000039_CAM2_OK.bmp,46.337,200624_053126_0000000040_CAM2_OK.bmp,M,1.056095594,0.748632879,0.056095594,0.335768208,1.048123996,0.75065473,0.048123996,0.332170385,55.792,55.46,3
1365,60.377,200624_053209_0000000041_CAM2_OK.bmp,48.864,200624_053215_0000000042_CAM2_OK.bmp,F,1.075074138,0.784855208,0.075074138,0.27412036,1.076817347,0.78837618,0.076817347,0.268430003,51.163,50.859,3
1366,65.065,200624_053253_0000000043_CAM2_OK.bmp,48.953,200624_053258_0000000044_CAM2_OK.bmp,F,1.108180371,0.745484294,0.108180371,0.341409884,1.092743933,0.750512017,0.092743933,0.332423702,57.363,57.034,3
2111,62.225,200624_053353_0000000045_CAM2_OK.bmp,47.054,200624_053358_0000000046_CAM2_OK.bmp,M,1.111911014,0.75105184,0.111911014,0.331466014,1.097722662,0.754194437,0.097722662,0.325918028,62.159,61.697,3
2112,66.809,200624_053431_0000000047_CAM2_OK.bmp,49.556,200624_053437_0000000048_CAM2_OK.bmp,M,1.072025148,0.738922018,0.072025148,0.35332278,1.072697938,0.742818622,0.072697938,0.346223655,55.285,54.926,3
2113,65.654,200624_053500_0000000049_CAM2_OK.bmp,49.382,200624_053505_0000000050_CAM2_OK.bmp,M,1.05166087,0.74972805,0.05166087,0.333816975,1.048544962,0.753309377,0.048544962,0.327475843,56.145,55.733,3
2114,65.758,200624_053535_0000000051_CAM2_OK.bmp,48.881,200624_053540_0000000052_CAM2_OK.bmp,M,1.080413477,0.737432114,0.080413477,0.356057026,1.07282608,0.741332918,0.07282608,0.348921619,55.193,54.801,3
2115,62.857,200624_053605_0000000053_CAM2_OK.bmp,49.984,200624_053611_0000000054_CAM2_OK.bmp,M,1.073982183,0.791859544,0.073982183,0.262850221,1.080358582,0.793959864,0.080358582,0.25950951,59.315,58.92,3
2116,65.997,200624_053637_0000000055_CAM2_OK.bmp,48.939,200624_053643_0000000056_CAM2_OK.bmp,M,1.077568381,0.738852996,0.077568381,0.353449204,1.062271016,0.737575922,0.062271016,0.355792631,61.183,60.826,3
2121,62.931,200624_053738_0000000057_CAM2_OK.bmp,47.609,200624_053800_0000000058_CAM2_OK.bmp,M,1.062018721,0.750696982,0.062018721,0.332095405,1.064922194,0.755815845,0.064922194,0.323073612,51.876,51.499,3
2122,63.83,200624_053828_0000000059_CAM2_OK.bmp,49.545,200624_053834_0000000060_CAM2_OK.bmp,M,1.060874187,0.767094004,0.060874187,0.303621192,1.082314486,0.770268773,0.082314486,0.298248138,49.555,49.195,3
2123,66.769,200624_053900_0000000061_CAM2_OK.bmp,46.331,200624_053904_0000000062_CAM2_OK.bmp,M,1.104101563,0.740872441,0.104101563,0.349760019,1.090533145,0.744596114,0.090533145,0.343009963,57.884,57.446,3
2124,66.621,200624_053931_0000000063_CAM2_OK.bmp,48.428,200624_053940_0000000064_CAM2_OK.bmp,M,1.100281282,0.722587826,0.100281282,0.383914818,1.0847928,0.727845555,0.0847928,0.37391785,54.848,54.45,3
2125,63.608,200624_054039_0000000065_CAM2_OK.bmp,48.268,200624_054049_0000000066_CAM2_OK.bmp,M,1.056842482,0.754494276,0.056842482,0.325391103,1.046100752,0.75996304,0.046100752,0.315853466,63.125,62.687,3
2126,67.671,200624_054115_0000000067_CAM2_OK.bmp,48.316,200624_054123_0000000068_CAM2_OK.bmp,M,1.12199607,0.703558144,0.12199607,0.421346634,1.125676533,0.708545503,0.125676533,0.411341961,56.771,56.377,3
2131,62.452,200624_054159_0000000069_CAM2_OK.bmp,46.279,200624_054203_0000000070_CAM2_OK.bmp,F,1.09221999,0.738807279,0.09221999,0.353532956,1.09175633,0.744393534,0.09175633,0.343375453,59.814,59.398,3
2132,61.02,200624_054226_0000000071_CAM2_OK.bmp,45.063,200624_054231_0000000072_CAM2_OK.bmp,M,1.0702763,0.761357775,0.0702763,0.313442948,1.080784698,0.765372892,0.080784698,0.306552676,54.351,53.922,3
